id,Label,Type,Text,Comprehension,Captum,Hummingbird scores,Dwell 0-mean,FFD 0-mean,FRD 0-mean,Subtractive DT,Subtractive FFD,Subtractive FRD,Captum,Captum Converted,,Judgment,Confidence
1,Negative Sentiment,Movie review,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",The reviewer had an extremely negative impression of the film.,,0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 0.0 -0.3333 0.0 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -0.3333 -0.3333 -0.3333, 0.0 3258.87 0.0 2267.65 5576.0 3194.51 4919.48 0.0 2962.79 5189.82 2949.92 2937.05 1804.23 0.0 2782.57 5949.32 1121.96 1636.88 2834.06 3464.84 0.0 3387.6 1469.53 1932.96 0.0 4095.61 0.0 2254.78 0.0 5872.08 2782.57 5151.2 2113.18, 0 794.83 0 561.58 1236.1 633.29 1215.64 0 732.37 1442.89 776.26 1214.15 460.73 0 790.87 1685.21 469.05 309.34 691.3 831.54 0 867.9 255.95 403.8 0 1093.79 0 506.48 0 1518.56 674.87 1430.57 461.3, 0 1424.14 0 922.26 2089.55 1132.02 1971.3 0 1196.58 2238.82 1238.56 1674.53 752.38 0 1228.24 2594.26 659.08 576.06 1136.34 1370.54 0 1395.39 497.74 714.62 0 1726.74 0 865.23 0 2416.11 1112.24 2220.74 798.96,0.0 7.71 0.0 3.22 0.0 4.23 6.57 0.0 6.72 0.0 7.52 3.17 0.0 0.0 2.53 5.99 0.0 0.83 0.0 3.62 0.0 3.27 1.65 0.62 0.0 3.31 0.0 1.98 0.0 4.17 0.0 3.88 0.0, 0 4.34 6.23 0.0 0.0 0.16 5.74 0 3.37 1.52 4.07 5.08 0.0 0 0.0 5.81 0.0 0.0 0.0 3.53 0 2.27 0.74 0.0 0 3.57 0 0.0 0.0 1.19 1.76 4.77 0.0,0 4.66 5.19 0.0 0.0 0.97 4.8 0 3.28 1.01 3.26 3.85 0.0 0 0.0 5.34 0.0 0.0 0.0 3.08 0 1.98 0.97 0.0 0 2.93 0 0.0 0.0 1.05 1.87 4.47 0.0,0.00 -0.10 0.91 0.01 -0.02 0.02 0.02 -0.04 -0.02 -0.02 -0.03 0.02 -0.01 -0.01 -0.02 -0.05 -0.01 -0.01 0.01 0.01 0.02 0.04 0.00 0.02 -0.06 -0.03 0.07 0.02 -0.02 -0.03 0.37 -0.01 0.03 -0.01 -0.00 -0.00 0.03 -0.01 -0.02 -0.01 0.02 0.00,-0.1 0.91 0.01 -0.02 0.0 -0.02 -0.02 -0.006666666666666665 -0.01 -0.02 -0.05 -0.01 0.0 0.01 0.02 0.04 0.0 -0.019999999999999997 -0.03 0.07 0.02 -0.02 -0.03 0.37 -0.01 0.03 -0.01 0.0 0.0 0.03 -0.01 -0.02 0.005,,Negative,0
2,Negative Sentiment,Movie review,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,NO_QUESTION,,0.0 0.0 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.6667 -0.6667 -0.3333 -0.6667 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.3333 -0.3333 -0.3333, 0.0 9627.99 3217.25 2818.19 0.0 3371.73 0.0 0.0 2959.79 0.0 4144.11 0.0 3474.71 2406.26 5019.47 0.0 0.0 1929.96 1015.98 2779.57 0.0 2110.18 0.0 0.0 2740.95 0.0 0.0 1878.46, 0 2589.83 729.51 687.19 0 863.79 0 0 732.37 0 1110.22 0 896.65 555.76 1139.5 0 0 403.8 112.2 674.87 0 461.3 0 0 662.55 0 0 387.37, 0 4317.27 1232.07 1130.31 0 1389.36 0 0 1196.58 0 1750.83 0 1437.56 937.53 2160.5 0 0 714.62 286.88 1112.24 0 798.96 0 0 1094.16 0 0 690.52, 0.0 4.58 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.97 0.0 2.69 0.0 0.0 4.16 0.0 0.35 0.0 2.82 0.0 0.0 0.0 1.4 1.59 0.18, 0 3.72 0.0 0.0 0.0 0.0 0.0 2.23 0.0 0 0.0 0 5.26 1.31 0.0 0 6.36 0.0 0.0 0.0 0.0 1.88 0.0 0 1.71 4.39 7.6 1.04, 0 3.74 0.0 0.0 0.0 0.0 0.0 2.35 0.0 0 0.0 0 6.37 1.03 0.0 0 5.88 0.0 0.0 0.0 0.0 2.02 0.0 0 1.36 3.89 7.09 0.96,0.00 -0.01 0.07 -0.07 0.02 0.10 0.01 -0.06 0.38 0.01 0.08 0.13 -0.03 0.01 0.09 -0.12 0.17 0.19 -0.16 -0.09 -0.08 -0.16 0.05 0.11 -0.54 0.12 0.25 -0.02 -0.17 -0.05 -0.11 -0.10 -0.11 0.45 0.08 0.00,-0.01 0.006666666666666667 0.1 0.01 -0.06 0.38 0.01 0.08 0.13 -0.03 0.037500000000000006 0.19 -0.16 -0.09 -0.08 -0.16 0.05 0.11 -0.54 0.12 0.25 -0.02 -0.17 -0.05 -0.11 -0.1 -0.11 0.265,,Negative,0
3,Negative Sentiment,Tweet,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",The author of the tweet is likely feeling demoralized.,,0.0 -0.6667 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 -0.6667 -0.3333 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -1.0 0.0 0.0 0.0 -0.6667 0.0, 0.0 2084.05 2393.0 0.0 3487.2 0.0 0.0 0.0 2393.0 0.0 0.0 3706.04 2534.6 3088.14 217.47 3615.93 4053.61 2920.79 2212.78 4671.52 0.0 1787.97 4452.68 5199.31 15394.69, 0 465.41 513.98 0 913.08 0 0 0 468.98 0 0 836.9 609.15 785.76 0.0 954.15 967.79 732.37 506.48 1269.93 0 415.94 1122.11 1243.32 3728.12, 0 804.99 899.58 0 1461.66 0 0 0 949.58 0 0 1564.07 1015.85 1274.9 0.0 1521.9 1726.74 1196.58 865.23 2278.91 0 711.43 1814.49 2046.92 7050.31, 0.0 0.0 0.0 0.0 2.88 0.0 0.0 2.49 0.0 0.0 0.0 1.87 0.0 4.76 0.0 5.12 1.34 4.39 1.91 0.0 0.0 0.0 0.0 0.0 0.0, 0 0.0 0.0 0.0 2.98 0.0 0.0 4.04 0.0 0.63 0.0 0.02 0.0 3.94 0.0 3.23 5.76 2.49 3.5 0.0 0 0.0 0.0 5.52 5.53, 0 0.0 0.0 0.0 2.84 0.0 0.0 3.94 0.96 0.76 0.0 0.0 0.0 3.62 0.0 3.12 6.66 2.26 3.55 0.0 0 0.0 0.0 4.86 7.48,0.00 -0.04 -0.01 0.28 0.01 0.03 0.04 0.00 0.01 0.01 -0.03 0.03 -0.18 0.03 -0.01 0.00 -0.07 0.01 -0.03 0.05 0.02 -0.01 0.04 -0.03 0.02 -0.04 -0.09 0.51 -0.04 0.06 -0.40 -0.00 -0.17 -0.33 -0.19 -0.09 -0.16 0.17 -0.08 0.14 0.42 0.00,-0.04 -0.01 0.28 0.02 0.01 0.01 -0.03 0.03 -0.18 0.009999999999999998 0.0 -0.07 0.01 -0.03 0.05 0.02 -0.01 0.005000000000000001 -0.03666666666666667 0.23500000000000001 0.06 -0.2 -0.25 -0.14 0.098,,Negative,0
4,Negative Sentiment,Movie review,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",The reviewer seemed to have mixed emotions about the film.,,0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -1.0 -0.3333 0.0 0.0 -1.0 -0.6667 0.0 0.0 -0.6667 -0.3333 -0.6667 -0.6667 -1.0 -1.0,,,, 0.0 0.94 0.0 0.63 0.0 1.02 0.0 0.0 7.38 0.0 2.05 0.0 1.52 0.0 0.0 2.29 1.86 0.66 0.0 0.0 1.19 1.38, 0 2.78 0.12 0.0 0.5 0.53 0.0 2.48 11.89 0.0 1.92 0.0 0.0 0.0 0.0 2.38 1.54 2.73 0 0.22 1.37 1.29, 0 3.5 0.03 0.0 0.39 0.19 0.0 2.06 12.28 0.0 2.01 0.0 0.0 0.0 0.0 2.24 1.81 2.75 0 0.02 2.26 1.17,0.00 0.03 -0.05 -0.10 -0.48 0.03 -0.07 -0.11 -0.00 -0.46 -0.03 0.39 0.35 0.11 0.24 -0.02 -0.04 0.04 0.06 0.03 0.18 -0.00 -0.04 0.11 -0.02 -0.11 0.02 -0.09 -0.32 -0.03 0.00,0.03 -0.07500000000000001 -0.48 0.03 -0.07 -0.055 -0.46 -0.03 0.39 0.12799999999999997 0.04 0.06 0.03 0.18 0.0 -0.04 0.11 -0.02 -0.11 0.02 -0.09 -0.175,,Negative,0.04
5,Negative Sentiment,Tweet,Some 'friends' get bitter when it seems your life is moving better than theirs.,NO_QUESTION,,0.0 -0.6667 0.0 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0, 2446.49 4351.69 2909.92 1867.21 2240.53 3218.87 3257.49 0.0 2575.22 2343.51 2858.43 2395.0 1995.94 3862.52, 580.4 1020.25 728.26 258.59 514.69 826.83 726.15 0 621.47 547.55 711.83 450.98 436.66 1032.18, 973.67 1865.3 1190.56 565.57 877.28 1335.14 1240.22 0 1033.92 925.48 1166.46 836.58 762.82 1636.37, 0.0 10.07 0.0 0.39 0.0 5.35 0.0 0.0 2.06 3.38 0.0 2.1 0.0 0.0, 0.0 7.63 0.0 0.0 2.06 0.57 0.0 4.11 0.0 0.35 0.0 0.64 0.0 0.0, 0.0 8.34 0.0 0.0 2.16 0.82 0.0 3.54 0.0 0.59 0.0 0.39 0.0 0.0,0.00 0.02 0.14 -0.04 -0.02 0.00 0.40 0.19 -0.08 0.11 0.22 0.07 -0.09 0.12 -0.10 0.11 -0.74 -0.34 0.00,0.02 0.02666666666666667 0.0 0.4 0.19 -0.08 0.11 0.22 0.07 -0.09 0.12 -0.1 0.11 -0.54,,Negative,0.05
6,Negative Sentiment,Tweet,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,NO_QUESTION,,0.0 -0.3333 -0.3333 -0.3333 -0.6667 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333,,,, 4.6 0.0 0.0 0.0 0.0 4.98 0.0 2.31 2.74 0.0 0.0 0.0 2.38 1.69 0.0 3.09 1.14 5.63, 3.83 0.0 0.0 0.0 0.0 0 0 2.38 1.63 0.0 0.0 0.0 1.33 1.51 0.0 1.9 0.62 4.6, 2.37 0.0 0.0 0.0 0.0 0 0 1.78 1.5 0.0 0.0 0.0 0.8 1.42 0.0 1.12 0.97 4.0,0.00 0.95 -0.02 -0.14 0.02 -0.01 0.04 -0.01 -0.07 0.04 0.03 -0.03 0.01 -0.11 -0.11 -0.00 -0.00 -0.08 -0.05 -0.12 -0.05 -0.04 -0.04 -0.01 0.05 0.05 0.00,0.46499999999999997 -0.043333333333333335 0.04 -0.01 -0.07 0.013333333333333336 0.01 -0.11 -0.03666666666666667 -0.08 -0.05 -0.12 -0.05 -0.04 -0.04 -0.01 0.05 0.05,,Negative,0.05
7,Negative Sentiment,Tweet,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,NO_QUESTION,,0.0 0.0 0.0 0.0 -0.6667 -1.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 0.0 0.0 -1.0 -0.6667 -0.6667 0.0 0.0 -1.0 -0.6667, 0.0 121.9 3056.93 2027.1 623.94 0.0 3443.12 1486.43 1846.87 4305.61 1319.08 2709.36 0.0 791.29 4176.88 392.23 3237.15 0.0 1100.24 0.0 4923.51 1319.08, 0 16.4 785.81 493.25 45.58 0 945.03 327.75 440.75 915.2 292.36 554.92 0 115.97 916.13 0.0 778.31 0 197.54 0 1274.34 267.36, 0 65.66 1499.25 826.29 169.62 0 1488.98 580.26 746.95 1587.62 519.94 989.59 0 264.94 1569.38 61.18 1291.59 0 392.53 0 2038.8 494.94, 0.0 0.0 0.0 2.68 0.0 0.49 2.53 4.51 0.0 2.04 0.27 1.56 0.99 0.0 2.0 0.0 2.36 2.79 0.0 2.5 12.6 11.23, 0 0.0 0.0 3.15 0.0 0.3 2.8 1.38 0.0 2.28 2.06 0.0 1.87 0.0 1.85 0.0 2.29 4.49 0.0 0 9.7 5.57, 0 0.0 0.0 2.73 0.0 0.99 2.27 1.54 0.0 1.92 1.5 0.42 1.46 0.0 2.14 0.0 2.61 4.93 0.0 0 11.51 5.61,0.00 0.31 0.05 0.31 0.15 -0.14 0.06 0.02 0.03 -0.02 -0.05 0.00 -0.01 0.05 -0.00 -0.10 0.02 -0.06 -0.08 -0.00 0.01 -0.06 0.01 -0.00 0.07 0.07 -0.65 -0.06 0.52 -0.12 0.00,0.31 0.05 0.31 0.15 -0.14 0.06 0.02 0.03 -0.02 -0.02 0.05 0.0 -0.04666666666666667 -0.08 0.0 0.01 -0.06 0.005 0.07 0.07 -0.355 0.2,,Negative,0
8,Negative Sentiment,Movie review,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",NO_QUESTION,,0.0 -0.3333 -0.6667 -0.3333 0.0 -0.3333 -0.3333 0.0 0.0 0.0 0.0 -0.6667 -0.3333 -0.6667 -0.6667 -1.0 -1.0, 0.0 835.91 2741.11 629.94 1852.87 1827.13 0.0 823.04 1814.26 1273.59 0.0 3976.91 0.0 591.32 2419.28 0.0 3732.33, 0 126.29 693.14 231.58 330.75 397.53 0 107.18 423.43 250.93 0 1113.42 0 239.26 473.46 0 819.38, 0 281.01 1131.64 396.62 636.95 699.9 0 259.99 723.87 470.84 0 1735.99 0 357.55 864.02 0 1405.52, 1.67 1.56 0.0 7.88 0.0 3.72 0.0 0.0 1.48 7.89 0.46 0.0 2.88 0.0 1.77 0.0 11.12, 0 1.39 0.0 6.1 0.0 2.65 0.0 0.05 0.0 6.09 2.15 0.0 0.02 0.0 0.95 0.0 3.2, 0 1.09 0.0 6.44 0.0 2.87 0.0 0.01 0.0 7.1 1.64 0.0 0.0 0.0 0.86 0.0 3.06,0.00 -0.02 -0.21 -0.08 -0.11 0.02 0.39 0.29 0.04 0.09 0.03 0.02 0.02 -0.03 0.07 0.08 0.11 0.01 -0.09 -0.04 -0.17 0.07 0.13 0.05 0.01 0.03 0.11 -0.77 -0.01 0.00,-0.10333333333333333 -0.11 0.185 0.09 0.03 0.02 0.02 -0.03 0.07 0.027500000000000004 -0.04 -0.17 0.07 0.06333333333333334 0.03 0.11 -0.39,,Negative,0
9,Negative Sentiment,Movie review,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",The reviewer had a mildly negative impression of the film.,,0.0 0.0 0.0 -0.6667 0.0 -0.6667 -0.6667 -0.6667 0.0 0.0 -0.6667 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 0.0 -0.3333 -0.3333 0.0 -0.3333 -0.3333, 889.05 3368.68 1888.29 2731.47 1211.64 2338.84 1868.98 2029.89 927.67 0.0 658.1 1978.4 683.85 2924.56 1862.54 2538.37 1952.65 1481.97 1199.59 2229.42 613.05 3690.5 1650.14, 366.11 895.83 410.02 705.03 616.46 611.27 472.36 594.7 390.75 0 244.25 452.27 378.68 731.14 415.3 638.43 457.05 749.96 200.79 604.36 312.5 824.51 407.54, 652.43 1423.14 716.82 1157.93 1007.02 985.18 776.29 922.59 688.58 0 790.92 772.49 612.02 1192.29 718.27 1042.06 773.44 1221.05 405.01 961.97 524.75 1399.75 678.87, 0.0 1.55 0.67 2.38 2.46 0.0 0.0 0.11 0.0 0.54 0.0 2.45 0.64 4.76 2.51 0.0 0.0 0.0 0.0 2.73 0.0 0.0 0.0, 0.0 0.0 0.0 1.78 0.0 0.0 0.0 1.19 0.0 3.05 0.0 0.0 0.07 0.0 1.39 0.0 0.0 0.0 0.0 1.43 0.0 0.0 0.0, 0.0 0.0 0.0 4.12 0.0 0.0 0.0 1.58 0.0 3.09 0.0 0.0 0.0 0.0 0.99 0.0 0.0 0.0 0.0 0.72 0.0 0.0 0.0,0.00 -0.15 0.11 0.15 0.04 -0.06 0.11 0.09 -0.05 0.03 -0.14 0.11 -0.02 -0.12 0.02 -0.03 -0.24 0.05 -0.05 0.08 -0.09 0.09 -0.01 -0.19 -0.04 0.05 -0.13 -0.03 0.13 0.18 0.04 0.09 -0.80 -0.16 0.00,-0.15 0.11 0.15 0.04 -0.06 0.05000000000000001 -0.05500000000000001 0.11 -0.02 -0.12 -0.08333333333333333 0.02666666666666667 -0.09 0.09 -0.01 -0.19 -0.04 0.05 -0.13 -0.03 0.13 0.10333333333333333 -0.48000000000000004,,Negative,0
10,Negative Sentiment,Tweet,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",The author of the tweet was feeling angry.,,-1.0 -0.3333 0.0 0.0 0.0 -1.0 -1.0 0.0 0.0 0.0 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.6667 -0.3333, 2493.82 3645.95 599.11 1560.01 2513.13 5255.07 1811.55 920.94 1554.09 1000.03 1863.04 0.0 1792.24 3291.94 0.0 875.88 1927.41 1834.92 2176.05 4090.06, 783.05 904.13 219.39 734.14 622.71 1196.02 398.88 435.75 422.23 431.82 432.8 0 392.71 712.19 0 407.0 435.84 872.95 1236.63 1030.33, 1179.97 1472.66 429.72 1217.95 1022.51 2305.73 694.18 741.95 679.19 748.82 735.77 0 685.14 1227.99 0 699.77 748.4 1597.42 1916.72 1665.01, 0.98 0.99 0.0 0.0 1.1 0.0 0.0 2.37 1.16 3.69 0.0 2.56 0.17 0.84 0.0 0.0 0.0 0.0 0.0 0.0, 0.0 0.91 0.0 1.38 0.0 0.0 0.0 0.0 0.0 5.3 0.0 3.72 0.0 0.49 0.62 0.0 0.0 0.0 0.0 0.0, 0.0 0.67 0.0 1.22 0.0 0.0 0.0 0.0 0.0 5.23 0.0 3.37 0.0 0.69 0.76 0.0 0.0 0.0 0.0 0.0,0.00 -0.05 0.16 0.13 0.08 -0.24 -0.25 -0.03 -0.18 0.02 -0.02 0.01 -0.05 -0.01 0.02 0.13 -0.17 0.11 0.09 -0.12 -0.09 -0.14 -0.13 0.01 0.21 -0.36 0.06 -0.30 0.36 -0.12 0.24 -0.33 0.06 -0.28 -0.07 -0.05 0.00,-0.05 0.16 0.13 -0.07999999999999999 -0.14 -0.18 0.02 -0.02 0.01 -0.05 -0.01 0.02 0.13 -0.17 0.11 -0.06333333333333334 -0.075 -0.12 -0.023750000000000007,,Negative,0
11,Negative Sentiment,Tweet,"I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",The author of the tweet seems frustrated.,,0.0 -0.3333 -0.3333 0.0 -0.6667 -0.6667 0.0 0.0 -0.6667 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.3333 -1.0 -1.0 0.0, 0.0 1894.08 4301.33 2022.81 2409.0 1700.99 0.0 3928.01 2885.3 0.0 2022.81 2550.61 0.0 3413.09 2009.94 3335.86 2962.54 0.0 4043.87 2087.18 2048.56 2589.22 3104.14 1044.47 4288.46 2743.7, 0 398.97 1061.99 440.04 563.25 372.36 0 891.88 656.21 0 440.04 546.43 0 902.6 518.93 858.96 670.85 0 943.85 460.57 448.25 692.75 709.03 127.9 1005.88 596.03, 0 700.63 1722.21 760.87 941.61 645.26 0 1652.49 1105.51 0 760.87 945.87 0 1430.52 837.85 1375.37 1131.66 0 1565.72 790.99 772.92 1097.95 1190.93 303.01 1974.18 1024.24, 0.0 0.0 0.0 0.0 2.6 1.83 2.26 4.01 10.21 0.0 0.0 0.0 0.0 3.19 0.0 0.0 5.19 0.62 0.0 0.0 5.39 1.62 2.37 1.82 4.47 0.0, 0 0.0 4.77 0.0 1.44 0.0 4.47 2.07 7.76 0.0 0.0 0.0 0 3.57 0.0 0.0 0.0 2.94 0.0 0.18 0.0 0.0 0.0 0.93 3.48 0.0, 0 0.0 4.53 0.06 1.41 0.03 4.55 2.8 7.6 0.0 0.0 0.0 0 2.96 0.0 0.0 0.0 2.72 0.0 0.4 0.0 0.0 0.0 0.73 4.16 0.0,0.00 0.00 0.08 -0.04 0.03 -0.01 0.06 0.04 0.07 0.08 0.04 0.06 -0.14 0.49 -0.59 -0.37 0.01 0.03 -0.12 -0.02 0.02 0.02 -0.01 0.28 0.03 -0.01 0.14 -0.22 0.07 -0.06 0.03 -0.08 -0.03 0.20 0.00,,,Positive,0.71
12,Negative Sentiment,Movie review,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum, not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality.",NO_QUESTION,,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.6667 -0.3333 -0.3333 -0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 0.0, 0.0 1151.33 4150.73 1408.79 3661.55 3185.25 0.0 2000.94 0.0 0.0 3545.7 1550.39 2258.4 2464.37 2155.42 2593.1 2322.77 0.0 3133.76 3725.92 1189.94 0.0 4022.0 0.0 0.0 2837.68 3017.91, 0 164.86 1014.81 247.0 828.74 813.78 0 428.93 0 0 809.78 292.18 518.07 583.78 485.21 624.86 538.61 0 797.35 986.28 177.18 0 904.74 0 0 702.89 771.39, 0 357.23 1795.94 477.72 1589.01 1309.1 0 747.85 0 0 1358.78 543.99 875.34 971.73 827.14 1031.97 905.46 0 1285.0 1562.13 375.3 0 1700.69 0 0 1146.44 1241.78, 0.0 0.0 0.18 1.53 6.77 0.0 0.0 5.53 0.0 0.0 0.0 0.0 2.87 0.0 0.0 3.29 0.0 0.0 0.0 3.23 0.0 0.0 5.47 0.0 0.0 1.57 19.66, 0 0.0 0.0 0.0 4.86 0.0 6.12 0.0 0 0.0 0.0 0.0 0.0 0.0 0.0 3.06 0.0 0.0 0.0 2.29 0.0 0 2.98 0 0 1.02 15.67, 0 0.0 0.0 0.0 5.14 0.0 7.79 0.0 0 0.0 0.0 0.0 0.0 0.0 0.0 3.08 0.0 0.0 0.0 2.87 0.0 0 4.24 0 0 1.18 18.08,0.00 -0.27 0.11 -0.25 0.09 0.13 0.01 -0.07 0.10 -0.08 0.04 0.16 -0.06 0.16 -0.10 0.03 0.09 0.01 -0.17 -0.31 -0.15 0.13 -0.23 -0.16 0.20 0.05 0.00 0.11 -0.14 -0.01 0.06 -0.07 0.09 0.39 -0.04 -0.11 -0.12 -0.22 -0.37 -0.17 0.00,-0.27 0.11 -0.25 0.09 0.13 0.01 -0.07 0.1 -0.08 0.04 0.16 0.05 -0.1 0.03 -0.095 -0.15 0.13 -0.195 0.09 -0.14 0.024999999999999998 -0.07 0.09 0.17500000000000002 -0.11 -0.12 -0.25333333333333335,,Negative,0
