id,Label,Type,Text,Comprehension,Captum,Hummingbird scores,Dwell 0-mean,FFD 0-mean,FRD 0-mean,Subtractive DT,Subtractive FFD,Subtractive FRD,Captum,Captum Converted,,Judgment,Confidence
13,Negative Sentiment,Tweet,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open",NO_QUESTION,,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.3333 -0.3333 0.0 -1.0 0.0 -0.3333 -0.6667 0.0 -0.3333 -0.3333 0.0 -0.6667 0.0 -0.3333 0.0,,,, 0.0 0.0 0.0 4.63 0.0 2.98 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.87 0.16 0.0 2.49 0.0 0.0 0.0 5.3 0.0 0.0 0.0 4.84 0.0, 0.0 0 0.0 0.32 0 0.51 0 0 0 0 0.0 0.0 0 3.45 0.0 0 0.79 0.0 0 0 0.01 0 0.0 0 3.87 0, 0.0 0 0.0 0.42 0 0.23 0 0 0 0 0.0 0.0 0 2.16 0.0 0 0.47 0.0 0 0 0.25 0 0.0 0 2.96 0,0.00 0.09 0.15 -0.07 0.07 -0.10 -0.03 0.05 -0.02 -0.01 0.08 0.01 -0.00 0.03 -0.08 -0.04 -0.02 -0.07 -0.69 0.13 -0.05 -0.00 -0.58 0.14 0.01 -0.04 -0.02 -0.26 0.02 0.02 0.03 0.00,0.09 0.15 -0.07 0.07 -0.1 -0.03 0.05 -0.02 -0.01 0.03 0.03 -0.08 -0.04 -0.045000000000000005 -0.69 0.13 -0.025 -0.58 0.14 0.01 -0.04 -0.02 -0.26 0.02 0.02 0.03,,Negative,0
14,Negative Sentiment,Movie review,"...Designed to provide a mix of smiles and tears, ""Crossroads'' instead provokes a handful of unintentional howlers and numerous yawns.",The reviewer seemed to think the movie was slightly below average.,,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 -0.3333,,,, 0.0 0.0 1.8 0.0 0.61 1.82 0.0 0.0 0.0 0.0 0.0 4.82 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0, 0.0 0 0.38 0 0.0 0.0 0.0 0 0.0 0.0 0 4.82 0 0.0 0 0.0 0.0 0 0.0 0, 0.0 0 0.1 0 0.0 0.0 0.0 0 0.0 0.0 0 4.13 0 0.0 0 0.0 0.0 0 0.0 0,0.00 -0.04 -0.07 0.00 0.04 0.01 -0.11 -0.04 -0.09 -0.01 0.28 -0.02 -0.02 -0.07 0.01 0.06 0.31 0.03 -0.02 0.02 -0.18 -0.01 -0.01 0.07 0.03 -0.03 0.00 -0.03 0.03 -0.81 -0.05 0.15 0.11 -0.05 -0.15 -0.08 0.15 0.00,,,Negative,0
15,Negative Sentiment,Tweet,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",The author seems sad.,,.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.3333 0.0 0.0 0.0 0.0 0.0,,,, 0.0 4.37 0.0 8.86 0.0 2.41 0.78 5.97 6.01 0.0 0.0 0.0 6.05 0.0 4.3 11.82, 0 4.59 0 6.29 0.0 0.64 0.0 4.88 1.47 0.0 0.0 0 2.33 0 2.1 11.87, 0 2.97 0 5.65 0.0 0.8 0.0 3.6 1.28 0.0 0.0 0 2.16 0 1.87 10.07,.00 -0.04 0.05 0.03 -0.20 0.07 -0.15 -0.02 -0.17 0.08 -0.20 0.06 -0.07 0.03 0.14 0.13 -0.02 0.04 -0.15 -0.12 -0.78 -0.04 0.01 0.23 -0.05 0.05 0.09 -0.11 0.04 0.28 0.00,0.013333333333333334 -0.2 0.07 -0.15 -0.02 -0.17 -0.060000000000000005 0.006666666666666664 0.14 -0.024 -0.41000000000000003 0.12000000000000001 -0.05 0.05 -0.010000000000000002 0.16,,Negative,0
16,Negative Sentiment,Movie review,"With virtually no interesting elements for an audience to focus on, Chelsea Walls is a triple-espresso endurance challenge.",NO_QUESTION,,0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.6667,,,, 0.88 1.5 2.63 0.0 2.79 0.0 4.01 0.0 0.0 0.0 0.0 5.82 6.15 0.0 8.7 0.0 0.0 10.07, 0.0 0.0 0.0 0.0 1.54 0 0.0 0.0 0 0.0 0 4.09 4.02 0 2.42 0.0 0.0 6.97, 0.0 0.6 0.0 0.0 1.54 0 0.0 0.0 0 0.0 0 3.61 3.97 0 2.36 0.0 0.0 7.77,0.00 -0.08 0.12 0.14 0.05 -0.05 0.01 0.02 -0.08 0.07 -0.13 0.09 -0.32 0.50 0.41 -0.20 -0.07 -0.06 0.08 -0.20 -0.43 -0.33 0.03 0.04 -0.10 0.00,-0.08 0.12 0.14 0.05 -0.05 0.01 0.02 -0.08 0.07 -0.13 -0.115 0.5 0.41 -0.2 -0.07 -0.06 -0.24333333333333332 -0.030000000000000002,,Negative,0
17,Negative Sentiment,Tweet,"To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",NO_QUESTION,,0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -0.3333,,,,,,,0.00 -0.06 -0.02 -0.01 -0.10 -0.01 0.02 -0.09 0.15 0.02 -0.04 0.01 -0.08 -0.02 0.05 -0.06 -0.34 0.04 0.04 -0.01 -0.21 -0.13 -0.07 -0.87 0.00,,,Negative,0
19,Negative Sentiment,Movie review,"Partway through watching this saccharine, Easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV show.",NO_QUESTION,,0.0 0.0 0.0 0.0 -0.3333 0.0 -0.3333 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0,,,,,,,0.00 -0.03 -0.01 0.14 0.00 0.00 -0.01 0.03 0.03 0.02 -0.05 0.02 -0.03 0.04 -0.00 -0.04 0.03 0.02 -0.02 -0.04 0.03 -0.13 -0.02 -0.14 -0.03 -0.04 -0.15 0.03 -0.04 -0.01 0.18 -0.91 0.03 -0.02 -0.21 0.00,,,Negative,0
20,Negative Sentiment,Movie review,Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep.,NO_QUESTION,,0.0 0.0 0.0 0.0 -0.3333 0.0 -1.0 0.0 0.0 0.0 0.0 -0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0,,,,,,,0.00 0.07 -0.32 0.09 0.15 -0.16 -0.04 -0.17 0.03 0.04 -0.02 -0.03 -0.04 -0.03 0.03 -0.05 -0.01 -0.02 0.01 -0.19 -0.05 -0.16 -0.01 -0.33 -0.79 0.07 0.00,,,Negative,0
21,Negative Sentiment,Tweet,@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,NO_QUESTION,,0.0 -0.3333 -1.0 0.0 0.0 0.0 0.0 -1.0 0.0,,,,,,,0.00 -0.08 0.05 0.23 0.06 -0.12 -0.43 -0.12 -0.04 -0.14 -0.17 -0.08 -0.07 -0.67 -0.09 0.14 -0.06 0.22 -0.35 0.09 0.00,,,Negative,0
22,Negative Sentiment,Movie review,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes.,NO_QUESTION,,0.0 -0.6667 0.0 0.0 0.0 -0.6667 -0.3333 0.0 0.0 -0.3333 -0.3333 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,,,,,,,,,,Negative,0
23,Positive Sentiment,Tweet,@mashable For some reason this has filled me with delight. See Auntie laugh.,The author of the tweet seems happy.,,0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.3333 1.0 0.0 0.3333 1.0, 1413.17 1310.18 2314.27 3073.78 0.0 3331.24 2172.67 0.0 4811.63 2584.6 2545.99 5789.97 2327.15, 235.41 308.55 566.91 707.22 0 902.36 451.73 0 1319.68 560.15 596.83 1466.82 498.01, 467.62 525.42 933.33 1186.78 0 1420.27 797.06 0 2058.08 966.85 997.77 2350.94 866.36, 0.0 2.08 0.0 1.67 1.88 4.32 4.81 3.28 4.03 0.0 0.66 1.26 3.34, 0.0 0.0 0.0 1.26 5.87 6.65 1.39 9.93 4.15 0.0 1.05 1.49 0.0, 0.0 0.0 0.0 1.51 7.32 7.23 1.68 9.76 3.55 0.0 0.85 0.38 0.05,0.00 -0.57 0.23 -0.06 -0.01 0.02 -0.05 0.02 0.01 0.08 0.01 -0.05 -0.05 0.69 -0.06 -0.18 -0.01 -0.08 0.23 -0.15 0.00,-0.16999999999999998 -0.016666666666666663 -0.05 0.02 0.01 0.08 0.01 -0.05 -0.05 0.31499999999999995 -0.18 -0.01 9.25185853854297e-18,,Positive,1
24,Positive Sentiment,Tweet,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise  That pizza segment! Plus I love her and Jazzy's friendship!,NO_QUESTION,,0.0 0.0 0.0 0.3333 0.3333 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 1.0 0.3333 0.0 0.0 0.3333, 4324.45 2792.57 0.0 2856.94 2638.1 2123.18 0.0 9705.35 0.0 552.68 5985.07 1955.83 0.0 2033.07 2831.19 1827.1 6461.37 5688.99, 1052.61 676.87 0 695.4 625.58 461.3 0 2388.37 0 181.24 1693.42 407.91 0 432.55 687.19 366.84 1845.38 1288.96, 1718.15 1297.24 0 1142.36 1039.94 798.96 0 4347.39 0 284.98 2606.31 720.65 0 756.79 1130.31 660.4 2829.22 2467.75, 0.0 0.0 0.0 7.54 0.0 0.0 0.0 0.0 0.68 3.37 0.0 0.85 0.36 0.0 0.0 0.0 0.0 2.6, 0.0 0.0 2.21 2.5 0.0 0.0 0 0.0 2.52 2.65 0.35 0.0 3.24 0.44 3.93 0.0 0.76 0.0, 0.0 0.0 2.2 3.22 0.0 0.0 0 0.0 2.67 1.99 0.0 0.0 3.15 0.52 3.77 0.0 0.0 0.0,0.00 0.07 -0.04 0.01 0.13 0.01 -0.08 0.00 -0.04 -0.18 0.28 -0.07 0.08 0.08 0.05 0.08 0.09 -0.02 -0.15 0.55 0.25 0.05 0.41 -0.03 -0.20 -0.18 0.04 0.15 0.01 0.04 0.08 -0.39 -0.05 0.00,0.07 0.03333333333333333 0.01 -0.08 -0.07333333333333333 0.28 -0.07 0.03 0.55 0.25 0.05 0.41 -0.03 -0.2 -0.18 0.04 0.07 -0.22,,Positive,1
25,Positive Sentiment,Tweet,@rickysnecklace I'm so proud Mils! Keep smiling,NO_QUESTION,,0.0 0.3333 0.3333 1.0 0.6667 0.0 0.6667,,,, 0.0 0.0 0.0 2.27 0.0 4.2 4.87, 0.0 0.0 0.65 1.82 0.0 4.46 3.37, 0.0 0.0 0.19 2.17 0.0 4.31 4.69,0.00 0.30 0.12 0.13 -0.00 0.57 0.09 0.16 0.10 0.00 0.53 0.08 0.05 0.28 0.33 -0.16 0.00,0.21 0.17500000000000002 0.0 0.53 0.1366666666666667 0.33 -0.16,,Positive,1
26,Positive Sentiment,Movie review,Candid and comfortable; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work.,NO_QUESTION,,1.0 0.0 1.0 0.0 0.0 0.0 1.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0, 4124.11 2025.81 5038.09 0.0 2875.43 0.0 4342.95 3840.9 5424.27 2373.38 1652.5 0.0 5849.08 2437.75 2296.15 3261.62 0.0 1111.83 0.0 4149.85 8294.94 1665.37 3699.3 4626.15 0.0, 1002.22 440.76 1324.82 0 765.83 0 1042.04 1072.86 1227.03 415.65 465.66 0 1501.56 572.19 527.01 881.04 0 374.16 0 1023.43 2440.91 430.77 974.68 1270.39 0, 1642.83 768.84 2101.57 0 1220.46 0 1834.25 1671.29 2061.31 795.5 738.13 0 2558.11 961.63 895.36 1393.19 0 629.1 0 1667.88 3702.77 705.16 1552.03 1985.79 0, 3.45 4.69 1.01 0.0 0.0 0.0 7.27 0.0 6.31 2.03 0.0 0.85 12.81 3.17 0.0 7.47 0.0 0.0 0.0 0.0 8.75 0.0 5.42 5.78 0.0, 2.06 1.92 1.2 0 0.0 0 5.12 0.0 3.43 0.55 0.0 0.0 6.63 0.0 0.0 5.26 0.0 0.0 0.0 0.0 3.91 0.0 0.48 5.07 0, 2.04 1.96 0.0 0 0.0 0 5.42 0.0 3.78 1.17 0.0 0.0 7.05 0.0 0.0 4.96 0.0 0.0 0.0 0.0 3.03 0.0 0.44 4.68 0,0.00 0.06 -0.02 -0.10 0.87 0.06 -0.05 0.21 -0.05 0.22 0.14 -0.01 0.06 -0.07 -0.03 0.00 -0.08 -0.05 0.10 -0.01 -0.04 -0.00 -0.02 0.14 -0.18 0.14 0.04 -0.04 -0.08 -0.00 -0.01 0.00,0.06 -0.060000000000000005 0.46499999999999997 -0.05 0.21 -0.05 0.22 0.065 -0.0050000000000000044 -0.03 0.0 -0.08 -0.05 0.1 -0.01 -0.04 0.0 -0.02 0.14 -0.18 0.14 0.04 -0.04 -0.08 -0.005,,Positive,1
27,Positive Sentiment,Movie review,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,The reviewer seemed to have an extremely positive impression of the movie.,,0.0 0.0 0.0 0.3333 0.6667 0.0 0.3333 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0, 2010.94 7224.49 903.87 0.0 2731.83 0.0 3401.22 4752.88 3002.16 0.0 3851.77 2615.97 3130.89 4160.72 0.0 3967.63 1766.35 0.0 1290.05 0.0 1882.21 2358.51 3143.76 1972.32 3092.27 5782.72, 742.66 1731.02 210.45 0 570.65 0 887.22 1311.46 657.9 0 1023.97 629.69 793.97 1222.54 0 1005.93 511.62 0 296.66 0 395.59 551.55 798.08 424.34 851.65 1640.03, 1068.82 2990.73 515.71 0 1004.19 0 1420.46 2046.03 1131.7 0 1624.32 1045.97 1286.95 1868.91 0 1623.54 801.35 0 515.45 0 702.57 929.48 1292.97 744.74 1338.87 2527.99, 4.43 10.63 0.0 6.25 0.0 0.28 6.17 4.59 0.0 0.0 0.0 0.0 3.43 0.0 0.0 2.59 0.0 0.06 0.0 0.0 3.27 0.0 0.0 0.0 1.87 0.0, 5.94 7.63 0.0 23.01 0.0 2.23 3.82 3.63 0.0 0.0 6.76 0.0 2.71 0.0 0 7.54 0.0 2.22 0.0 0.0 0.79 0.59 0.0 0.0 0.0 0.0, 4.81 8.14 0.0 20.81 0.0 2.03 4.16 3.56 0.0 0.0 5.93 0.0 2.31 0.0 0 7.23 0.0 2.35 0.0 0.0 0.83 0.67 0.0 0.0 0.0 0.0,0.00 -0.36 0.79 -0.06 -0.14 -0.27 0.08 0.11 -0.01 0.17 0.01 0.01 -0.06 -0.01 -0.00 -0.08 -0.07 0.04 -0.06 0.04 0.10 -0.22 -0.05 0.00 -0.03 -0.02 0.13 0.07 0.00,-0.36 0.79 -0.06 -0.14 -0.27 0.08 0.11 -0.01 0.17 0.01 0.01 -0.06 -0.01 0.0 -0.08 -0.07 0.04 -0.06 0.04 0.1 -0.22 -0.05 0.0 -0.03 -0.02 0.1,,Positive,1
28,Positive Sentiment,Movie review,The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work.,NO_QUESTION,,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0,,,, 0.56 4.15 0.55 0.0 0.0 5.45 0.16 0.0 0.0 2.78 5.37 0.0 1.05 0.0 5.54 1.12 3.18 2.94 0.0 0.0 2.35 0.6 8.02 0.0 7.78 0.0 0.0 0.0 0.0 7.46, 0.0 6.75 0.54 0.0 2.73 4.49 0.0 0.0 0.0 0.0 7.63 0.0 1.46 0.0 1.93 1.2 2.67 3.19 0.08 0.0 0 0.0 6.89 0.0 2.55 0.0 0.0 0.0 0.0 0.0, 0.0 10.12 0.53 0.0 2.26 3.96 0.0 0.0 0.0 0.0 7.92 0.0 1.75 0.0 1.8 1.0 2.31 2.55 1.13 0.0 0 0.0 5.65 0.0 2.2 0.0 0.0 0.0 0.0 0.0,0.00 -0.26 0.23 0.05 -0.01 0.02 0.04 0.05 0.06 -0.08 0.01 -0.01 -0.32 0.37 0.04 0.27 0.24 -0.17 -0.02 0.45 0.07 -0.02 0.05 -0.03 -0.08 0.11 0.08 0.04 0.01 0.31 0.23 0.01 -0.10 -0.11 0.04 0.03 0.08 -0.04 0.04 -0.20 0.08 0.00,-0.26 0.06285714285714286 -0.08 0.01 -0.01 -0.32 0.37 0.04 0.27 0.24 -0.17 -0.02 0.45 0.07 -0.02 0.05 -0.03 -0.08 0.11 0.08 0.04 0.01 0.11250000000000002 -0.11 0.04 0.03 0.08 -0.04 0.04 -0.060000000000000005,,Positive,1
29,Positive Sentiment,Movie review,The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in Hollywood's hastier productions.,The reviewer likely loved the movie.,,0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0, 0.0 1321.7 1604.91 755.29 0.0 2853.58 1656.4 3278.39 0.0 3407.12 0.0 716.67 0.0 2055.46 1965.35 0.0 98.77 2441.65 2300.05 0.0 0.0 2222.81 0.0 0.0 0.0 3111.04 974.13 3239.77, 0 394.68 370.04 98.97 0 717.42 297.46 903.96 0 945.03 0 86.65 0 525.78 428.03 0 0.0 647.0 591.82 0 0 627.18 0 0 0 850.56 341.79 670.63, 0 628.02 645.55 247.94 0 1178.93 580.65 1428.74 0 1488.98 0 229.86 0 868.41 757.24 0 1.69 1047.15 970.88 0 0 994.73 0 0 0 1350.42 523.35 1189.66, 1.15 0.0 7.54 0.0 1.94 5.08 1.13 2.97 0.65 1.63 0.08 1.81 0.0 1.68 8.73 0.16 0.0 7.87 4.46 0.25 0.0 3.23 2.79 0.0 5.12 0.0 0.0 8.23, 0 0.0 0 0.0 0 3.72 0.0 3.3 3.66 0.0 0.0 2.12 0 3.38 5.49 0 0.0 0 0.94 0 1.81 0.0 1.96 0.0 0 0.0 0.0 2.31, 0 0.0 0 0.0 0 3.89 0.0 3.92 3.01 0.0 0.0 1.96 0 3.29 5.83 0 0.0 0 1.21 0 1.77 0.0 1.54 0.0 0 0.0 0.25 1.68,0.00 0.01 0.23 0.07 0.07 -0.08 0.81 -0.07 0.01 0.15 -0.01 0.01 -0.05 0.02 -0.01 0.17 0.00 0.01 0.02 0.03 -0.08 0.01 -0.02 0.04 -0.08 -0.03 0.17 -0.13 0.09 -0.03 0.16 -0.02 0.03 0.05 -0.33 -0.01 0.00 0.00,0.01 0.23 0.07 0.07 -0.08 0.81 -0.07 0.01 0.15 -0.01 0.01 -0.05 0.02 -0.01 0.17 0.005 0.02 0.03 -0.08 -0.005 -0.023333333333333334 0.17 -0.13 0.09 -0.03 0.05666666666666667 0.05 -0.11333333333333334,,Positive,1
30,Positive Sentiment,Tweet,"@chasejarvis Honestly, been hearing this over and over again...it's kinda imprinted on my mind now. Thanks! #Strategy",NO_QUESTION,,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0, 335.36 2150.44 0.0 1030.5 1043.37 1249.34 1262.21 850.28 1506.8 2266.3 2098.95 0.0 0.0 2150.44 0.0 2047.46 13195.44, 121.54 416.64 0 299.32 193.43 375.14 263.25 131.83 356.29 714.6 553.21 0 0 429.64 0 513.78 3462.51, 209.15 774.61 0 749.48 386.5 598.89 488.92 296.13 788.38 1089.83 903.51 0 0 787.61 0 856.41 6073.62, 0.0 0.0 0.0 3.94 0.0 2.45 2.87 4.95 0.0 2.99 0.0 0.48 0.0 0.0 3.27 6.28 3.66, 0.0 0.0 0.0 3.24 0.0 0.0 4.15 3.81 0.0 0.0 0.0 0 0.0 0.0 2.27 5.78 4.04, 0.0 0.0 0.0 4.26 0.0 0.0 3.72 3.39 0.0 0.0 0.0 0 0.0 0.0 1.89 5.5 3.85,0.00 -0.21 0.36 0.46 0.19 -0.41 -0.15 0.08 0.21 0.02 0.02 -0.04 0.03 0.13 -0.02 -0.03 -0.06 -0.01 -0.06 0.05 -0.24 0.18 -0.05 -0.01 0.02 -0.00 0.00 -0.09 -0.31 0.04 0.05 -0.31 0.00,0.075 0.022500000000000013 0.08 0.21 0.02 0.02 -0.04 0.03 9.912705577010326e-19 -0.24 0.18 -0.030000000000000002 0.02 0.0 -0.045 -0.135 -0.13,,Positive,1
31,Positive Sentiment,Tweet,"Sometimes, you just need to eat a delicious piece of chocolate to remind yourself that there's no need to be bitter. Sweetness redeems.",NO_QUESTION,,0.0 0.0 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.0 0.3333 0.3333 0.0 0.6667 0.6667 0.6667 0.6667 0.6667 0.6667 0.3333 0.6667, 2291.34 0.0 923.25 1795.73 0.0 685.1 0.0 2123.99 633.6 2021.01 1074.85 0.0 1667.0 2068.94 2291.34 858.88 0.0 1180.71 627.17 1657.74 1727.81 1924.46 3424.16, 553.27 0 472.07 448.64 0 296.11 0 553.87 470.25 481.02 196.15 0 390.57 1179.13 567.27 506.0 0 596.35 259.14 871.28 876.45 440.21 948.69, 1051.68 0 784.02 748.74 0 537.11 0 902.86 695.92 814.67 388.87 0 784.49 1832.38 941.18 798.77 0 985.0 482.89 1393.44 1428.08 759.48 1491.33, 0.0 0.0 0.0 0.0 0.0 0.0 1.39 0.0 2.41 0.0 0.0 0.0 0.0 0.0 4.93 0.0 1.39 0.0 0.0 1.31 0.22 0.0 0.0, 0.0 1.78 0.0 0.0 0 0.0 0.91 0.0 0.0 0.0 0.0 0 0.0 2.05 4.05 0.0 2.79 0.0 0.0 3.53 0.0 0.0 0.0, 0.0 1.43 0.0 0.0 0 0.0 0.78 0.0 0.0 0.0 0.0 0 0.0 1.66 3.73 0.0 2.56 0.0 0.0 3.02 0.0 0.0 0.0,0.00 -0.59 -0.06 -0.26 0.16 0.11 0.10 -0.05 -0.02 0.28 0.05 0.08 0.32 -0.03 0.05 0.17 -0.03 0.15 -0.03 -0.02 -0.05 -0.07 0.03 -0.05 -0.14 -0.28 0.21 -0.31 -0.15 -0.09 -0.03 0.00,-0.32499999999999996 -0.26 0.16 0.11 0.1 -0.05 -0.02 0.28 0.05 0.08 0.32 -0.03 0.05 0.17 -0.03 0.03333333333333333 -0.05 -0.07 0.03 -0.05 -0.21000000000000002 0.21 -0.145,,Positive,1
